;;;;;;;;;;;;;;;;;;;Nests Laid on Cousin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;30;53;0;136;114;131;182;209;112;102;594;590;543;376;781;349;439;541;571;583;568;495;492;551;386;266;85;360;246;;;;
SEY 0466;SEY 0465;QQH 318;QQH 317;Cousin;;1990;SEY 0466;30/12/1997;SEY 0465;30/12/1997;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;1;HB
QQH 344;QQH 345;QQH 344;QQH 345;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;1;3;3;HB
QQH 309;QQH 308;QQH 309;QQH 308;Cousin;;1990;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
QQH 319;QQH 320;QQH 319;QQH 320;Cousin;;1990;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
QQH 356;;QQH 356;;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;1;HB
QQH 397;QQH 396;QQH 397;QQH 396;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;3;3;HB
QQH 398;QQH 339;QQH 398;QQH 339;Cousin;;1990;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
QQH 403;SEY 0280;QQH 403;;Cousin;;1990;;;SEY 0280;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;2;2;1;HB
QQH 450;QQH 476;QQH 450;QQH 476;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;2;;;;;2;5;2;HB
QQH 463;QQH 466;QQH 463;QQH 466;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;1;4;4;HB
QQH 303;QQH 304;QQH 303;QQH 304;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;3;;;;;;2;;;;;3;4;2;HB
QQH 499;QQH 498;QQH 499;QQH 498;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;3;;;;;;;;;;;2;4;3;HB
QQH 347;QQH 348;QQH 347;QQH 348;Cousin;;1990;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;2;2;1;HB
QQH 307;QQH 306;QQH 307;QQH 306;Cousin;;1990;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
QQH 311;QQH 310;QQH 311;QQH 310;Cousin;;1990;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;2;2;2;HB
QQH 365;QQH 364;QQH 365;QQH 364;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;;;;;1;;;;;3;2;1;HB
QQH 389;SEY 2423;QQH 389;;Cousin;;1990;;;SEY 2423;;;;;;;;;;;;;;;;;;1;;;;;;;;3;;;;;;;;;;;;;2;3;1;HB
QQH 390;QQH 391;QQH 390;QQH 391;Cousin;;1990;;;;;;;;;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;HB
QQH 443;SEY 0313;QQH 443;QQH 442;Cousin;;1990;;;SEY 0313;01/10/1999;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
QQH 446;QQH 449;QQH 446;QQH 449;Cousin;;1990;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
QQH 465;QQH 357;QQH 465;QQH 357;Cousin;;1990;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;HB
QQH 478;QQH 477;QQH 478;QQH 477;Cousin;;1990;;;;;;;;;;;;;;;;;;;1;;;3;;;;4;;;;;;;;;;;2;;;;;4;4;1;HB
SEY 6199;SEY 6198;QQH 350;;Cousin;;1990;SEY 6199;30/11/2003;SEY 6198;30/11/2003;;;;;;;;;;;;;;;;1;;;;;;;4;;;;;;;;2;;;;;;;3;4;1;HB
QQH 471;SCA 7084;QQH 471;QQH 470;Cousin;;1990;;;SCA 7084;12/02/2013;;;;;;;;;;;;;;;;3;;;;;;;;;;3;;1;;;;;;;;;;3;3;1;HB
QQH 354;QQH 353;QQH 354;QQH 353;Cousin;;1990;;;;;;;;;;;;;;;;;5;;;;;1;;;;;;;3;;;;;;;;;;;;;3;5;1;HB
QQH 373;SCA 1203;QQH 373;QQH 372;Cousin;;1990;;;SCA 1203;12/12/2007;;;;;;;;;;;;;2;;;;;;;2;;;2;;;;;;;;;;;;;;;3;2;2;HB
QQH 487;SEY 2901;QQH 487;;Cousin;;1990;;;SEY 2901;;;;;;;;;;;;;;;1;;;;;5;;4;;;;;;;;;;;;;;;;;3;5;1;HB
SEY 0284;QQH 381;;QQH 381;Cousin;;1990;SEY 0284;;;;;;;;;;;;;;;;1;;;1;;;;2;;;;;;;;;;;;;;;;;;3;2;1;HB
X 3759;QQH 480;;QQH 480;Cousin;;1990;X 3759;;;;;;;;;;;;;;;;;;;1;;;5;;;5;;;;;;;;;;;;;;;;3;5;1;HB
SCA 3963;QQH 314;SCA 3963;QQH 314;Cousin;;1990;SCA 3963;12/02/2011;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;;;1;;;;;;3;2;1;HB
QQH 343;SCA 3475;QQH 343;QQH 334;Cousin;;1990;;;SCA 3475;26/11/2010;;;;;;;;;;;;;3;;;;;1;;;;;4;;;4;;;;;;;;;;;;4;4;1;HB
SEY 2904;QQH 489;;QQH 489;Cousin;;1990;SEY 2904;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;;3;;;;4;;;;;;4;4;3;HB
SEY 0454;QQH 472;QQH 469;QQH 472;Cousin;;1990;SEY 0454;22/11/1997;;;;;;;;;;;;;;;;2;;;;1;;;;3;;;;;;4;;;;;;;;;;4;4;1;HB
QQH 330;SEY 9794;QQH 330;;Cousin;;1990;;;SEY 9794;02/11/2006;;;;;;;;;;;;;;;;;;;3;;;;;1;;;2;;;2;;;;;;1;;5;3;1;HB
QQH 444;SCA 1309;QQH 444;QQH 445;Cousin;;1990;;;SCA 1309;13/11/2008;;;;;;;;;;;;1;;;;;;;;;2;;;;1;5;;;;;;;;;;;;4;5;1;HB
QQH 362;QQH 363;QQH 362;QQH 363;Cousin;;1990;;;;;;;;;;;;;;;;;2;;;1;;;;4;;;4;;;;;;;;;;;;;;;4;4;1;HB
QQH 376;QQH 366;QQH 376;QQH 366;Cousin;;1990;;;;;;;;;;;;;1;;;1;;;;2;;;;2;;;;;;;;;;;;;;;;;;3;2;1;HB
QQH 387;QQH 384;QQH 387;QQH 384;Cousin;;1990;;;;;;;;;;;;;;;;2;;;3;;;;;;5;;;2;;;;;;;;;;;;;;4;5;2;HB
QQH 500;QQH 453;QQH 500;QQH 453;Cousin;;1990;;;;;;;;;;;;;;;;;1;;1;;;;;;5;;;1;;;;;;;;;;;;;;4;5;1;HB
QQH 358;SEY 2944;QQH 358;;Cousin;;1990;;;SEY 2944;;;;;;;;;;;;;;;2;;4;;1;;4;;2;;;;;;;;;;;;;;;;5;4;1;HB
SCA 2765;SXX 1177;QQH 405;QQH 409;Cousin;;1990;SCA 2765;22/10/2009;SCA 2766;22/10/2009;;;SXX 1177;18/10/2019;;;;;;2;;;1;;;3;;;4;;;3;;;2;;;3;;;;4;;;;;;7;4;1;HB
QQH 351;QQH 352;QQH 351;QQH 352;Cousin;;1990;;;;;;;;;;;;;;;;2;;;;1;;;3;;2;;3;;;;;2;;;;;;;;;;6;3;1;HB
QQH 325;SCA 3812;QQH 325;QQH 393;Cousin;;1990;;;SCA 3812;31/12/2010;;;;;;;;;;1;;2;1;1;;2;;;;;;;2;;;;4;;;;;;;;;;;6;4;1;HB
QQH 441;QQH 440;QQH 441;QQH 440;Cousin;;1990;;;;;;;;;;;;;;;;;1;;;;;;2;;2;;2;;2;;2;;2;;;;1;;;;1;9;2;1;HB
SXX 3135;SXX 3136;QQH 335;QQH 338;Cousin;;1990;SXX 3135;18/11/2021;SXX 3136;18/11/2021;;;;;;;;;;;;;;;;;;;;3;;4;;3;;5;;3;;4;;4;;3;;3;;9;5;3;HB
SCA 3477;SCA 1150;;QQH 383;Cousin;;1990;X 3553;;SCA 1150;14/11/2008;SCA 3477;25/11/2010;;;;;;;;1;;1;;2;;3;;4;;;5;;5;;;4;;;3;;;;3;;;;;9;5;1;HB
X 3506;X 3507;X 3506;X 3507;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;1;4;4;HB
;X 3578;;X 3578;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;1;HB
E 0347;SEY 2925;;SEY 2925;Cousin;;1992;E 0347;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
